# 2017-06-04 Hypoxic area data table
# David Forrest <drf@vims.edu> 2016-06-04
#1985-2009 data as collected in Forrest, Hetland, DiMarco 2010 http://iopscience.iop.org/1748-9326/6/4/045002
#2010 hypoxic area from http://www.gulfhypoxia.net/research/Shelfwide%20Cruises/2010/PressRelease2010.pdf
#2011 hypoxic area from http://www.gulfhypoxia.net/research/Shelfwide%20Cruises/2011/PressRelease2011.pdf
#2012 hypoxic area from http://snre.umich.edu/scavia/wp-content/uploads/2012/07/2012-Gulf-of-Mexico-Hypoxic-Forecast-and-observation.pdf
#2013 hypoxic area from http://www.gulfhypoxia.net/Research/Shelfwide%20Cruises/2013/PressRelease2013.pdf
#2014 hypoxic area from http://www.gulfhypoxia.net/Research/Shelfwide%20Cruises/2014/PressRelease2014.pdf
#2015 hypoxic area from http://www.gulfhypoxia.net/Research/Shelfwide%20Cruises/2015/PRESS_RELEASE_2015.pdf
#2017 hypoxic area from https://gulfhypoxia.net/research/shelfwide-cruise/?y=2017&p=press_release
#2015 wind data based on limited June 15-25th wind observations
#May 2013 discharge and concentration data from http://toxics.usgs.gov/hypoxia/mississippi/flux_ests/delivery/index.html
#May 2014 discharge and concentration data from http://toxics.usgs.gov/hypoxia/mississippi/flux_ests/delivery/index.html
#Preliminary May 2015 discharge and concentration data from http://toxics.usgs.gov/hypoxia/mississippi/oct_jun/index.html
#Preliminary May 2016 discharge and concentration data from http://toxics.usgs.gov/hypoxia/mississippi/oct_jun/index.html
#   and http://toxics.usgs.gov/hypoxia/mississippi/oct_jun/oct-may-2016.xlsx
#Preliminary May 2017 discharge and concentration data from http://toxics.usgs.gov/hypoxia/mississippi/oct_jun/index.html
#   and https://toxics.usgs.gov/hypoxia/mississippi/oct_jun/oct-may-2017.xlsx
#Columns are:
#  Year
#  kmsq    Hypoxic area in km^2
#  disch   May Total Mississippi-Atchafalya average flow 
#  N       May NO2+NO3 LOADEST AMLE predicted load
#  no23rat no23-ratio: N/disch *26.6555 concentration uM 
#  U       Average June-July eastward winds (m/s) from http://www.ndbc.noaa.gov/station_history.php?station=burl1, with missing data imputed from other nearby stations.
#  V       Average June-July northward winds (m/s)
#  UU      Average June-July eastward wind stress (m^2/s^2)
#  UUU     Average June-July eastward wind power (m^3/s^3)
#  ssta    Sea Surface Temperature
"Year","kmsq","disch","N","no23rat","U","V","UU","UUU","Ue","Ve","UUe","UUUe","Ul","Vl","UUl","UUUl","no23","ssta","post1993","not88or89","unusual"
1998,12480,40400,170000,112.1642327,1.6428065,2.7686623,11.3024245,213.881194,7.2327664,7.820947,52.3129101,1208.8702631,3.6975133,1.5520964,22.2312367,188.0652444,1.745,-0.21,1,TRUE,"Currents1998"
1999,20000,33100,182000,146.5649849,-0.7018246,2.3387943,-7.3870983,204.8129916,2.1795247,2.8336796,4.7503277,45.6877455,-0.6382057,2.0663548,-4.0376122,89.2397491,2.49,0.33,1,TRUE,"Baseline"
2000,4400,15900,62500,104.7779088,1.3979768,1.4314887,7.2369528,121.881938,-1.7894892,5.2559869,-3.2022716,171.1634544,2.0809099,-0.2386198,11.1084987,127.2583752,1.165,0.88,1,TRUE,"Baseline"
2001,20720,20900,123000,156.8720813,0.3816793,0.3865061,3.3570916,63.9373,1.1484568,6.0106088,1.3189531,229.1472334,1.8794299,0.0708465,10.7321308,86.142458,2.86,0.03,1,TRUE,"Baseline"
2002,22000,35600,157000,117.55375,-1.5122076,1.3635374,-6.4985914,138.6984121,-0.010002,-4.1979921,-1e-04,73.9824219,-0.6064164,0.4708422,-2.5308935,114.1236824,1.385,0.89,1,TRUE,"Baseline"
2003,8560,28900,106000,97.7675779,-0.8071661,3.0259701,-3.1037581,217.4934499,0.362024,2.4403961,0.1310614,15.0162516,-0.8378867,2.8742893,-2.4467892,227.5254919,1.245,0.76,1,TRUE,"Storm2003"
2004,15040,25800,94100,97.2202539,-0.0425215,2.2256924,0.0122291,69.3698982,-2.3473218,2.6091865,-5.5099197,43.2313039,-0.3236043,1.3225169,-0.7273876,21.6608244,1.06,-0.31,1,TRUE,"Baseline"
2005,11840,17500,84100,128.0987171,-0.4634873,0.7903434,-2.6852959,200.394282,2.0405665,-0.3934493,4.1639117,8.9749424,0.9099714,1.9220633,4.5304495,307.6114845,1.645,-0.23,1,TRUE,"Storm2005"
2006,17280,19500,115000,157.1991026,-1.6058081,1.8120873,-4.656401,53.1223673,-0.852985,4.0849027,-0.7275834,72.6688525,-2.0377894,2.249999,-6.3127552,57.8987559,2.83,0.02,1,TRUE,"Storm2006"
2007,20500,25400,148000,155.3155118,-0.0632131,1.5380387,0.2812716,105.8946848,-4.2392324,2.8942765,-17.9710912,135.2445273,1.8680262,0.7949548,9.3235942,91.020874,2.87,-0.22,1,TRUE,"Storm2007"
2008,20720,44400,192000,115.267027,0.8423624,1.3736161,2.9012599,30.7490277,-0.3449057,1.1758286,-0.1189599,1.839934,0.7984044,1.2218638,3.2545631,36.8854727,1.555,0.12,1,TRUE,"Storm2008"
2009,8000,42000,155000,98.3714881,2.0920098,0.9423132,7.6046533,43.887433,3.4024012,1.3856218,11.576334,49.5816761,2.0082913,0.9362363,7.4873152,44.8503187,1.335,0.3,1,TRUE,"Currents2009"
2010,20000,31300,123000,104.7484505,-2.0567218,1.5440565,-15.8263559,228.8438611,0.4789198,2.26082,0.2293642,12.3422338,-1.5989249,1.489228,-14.8671193,287.5103596,1.67,0.3,1,TRUE,"Baseline"
2011,17520,56700,181000,85.0907496,0.9759885,2.4281227,4.1598073,99.579943,4.9221076,1.9875344,24.2271434,149.5726581,1.350216,0.9542274,5.2823241,43.2079103,1.17,0.76,1,TRUE,"Storm2011"
2012,7480,16200,61800,101.6857963,-2.205229,0.2014566,-17.8569629,302.0222997,3.7000567,-1.2969833,13.6904197,60.2726619,0.4707264,1.6281041,0.9900723,18.9963343,1.43,1.13,1,TRUE,"Baseline"
2013,15120,38100,182000,127.3307349,0.1522701,1.6853992,2.2514414,87.0818527,-1.0894283,0.2175743,-1.186854,1.3711167,-1.1812372,1.30652,-4.2777157,65.8808806,1.945,-0.63,1,TRUE,"Baseline"
2014,13080,25400,108000,113.3383465,0.4028466,1.4302855,2.0095458,57.4905021,-2.0701745,4.0778816,-4.2856225,95.6486264,1.2726872,0.1627263,4.4386483,39.6157223,1.34,-0.5,1,TRUE,"Baseline"
2015,16760,31600,104000,87.726962,0.7468833,2.2405883,3.720271,120.4133159,-7.3874199,4.8115735,-54.5739729,685.2402708,0.5585952,2.1310964,2.3005809,55.9634337,0.927,0.65,1,TRUE,"Baseline"
2016,,30000,116000,103.0679,,,,,,,,,,,,,,,1,TRUE,"Baseline"
2017,22720,41100,191000,123.7848,,,,,,,,,,,,,,,1,TRUE,"Baseline",
2018,7040,32000,115000,95.79320,,,,,,,,,,,,,,,1,TRUE,"Baseline",
2019,18000,52000,160000,82.01692,,,,,,,,,,,,,,,1,TRUE,"Baseline",
2020,,27700,132800,127.7924,,,,,,,,,,,,,,,1,TRUE,"Baseline",
